policy,fraction,cumulative_gain,centered_qini,unit,sample_scope
response,0.919999742589712,0.001107032480614694,8.456433256050742e-05,incremental_conversions_per_test_row,held_out_test
response,0.9299997747659979,0.0011074530856605203,7.387111451874462e-05,incremental_conversions_per_test_row,held_out_test
response,0.9399998069422839,0.0011078736907063466,6.317789647698204e-05,incremental_conversions_per_test_row,held_out_test
response,0.94999983911857,0.0011087149007979991,5.2905283481045505e-05,incremental_conversions_per_test_row,held_out_test
response,0.959999871294856,0.0011108179260271302,4.3894485622587767e-05,incremental_conversions_per_test_row,held_out_test
response,0.969999903471142,0.0011116591361187826,3.362187262665123e-05,incremental_conversions_per_test_row,held_out_test
response,0.9799999356474279,0.0011120797411646088,2.292865458488843e-05,incremental_conversions_per_test_row,held_out_test
response,0.989999967823714,0.001110958127709072,1.0693218041762584e-05,incremental_conversions_per_test_row,held_out_test
response,1.0,0.0011113787327548983,0.0,incremental_conversions_per_test_row,held_out_test
t_learner,0.0,0.0,0.0,incremental_conversions_per_test_row,held_out_test
t_learner,0.009999674661997053,0.0005134185592719555,0.0005023051335181442,incremental_conversions_per_test_row,held_out_test
t_learner,0.01999970683828306,0.0005978199718011105,0.0005755927229597104,incremental_conversions_per_test_row,held_out_test
t_learner,0.029999739014569066,0.000678996745645593,0.0006456556737166042,incremental_conversions_per_test_row,held_out_test
t_learner,0.03999977119085507,0.0007284879393711587,0.0006840330443545811,incremental_conversions_per_test_row,held_out_test
t_learner,0.04999980336714108,0.0007712494523634898,0.0007156807342593235,incremental_conversions_per_test_row,held_out_test
t_learner,0.05999983554342708,0.0007813439734633119,0.0007146614322715569,incremental_conversions_per_test_row,held_out_test
t_learner,0.06999986771971309,0.000817656209086307,0.0007398598448069634,incremental_conversions_per_test_row,held_out_test
t_learner,0.0799998998959991,0.0008518654194801718,0.0007629552321132394,incremental_conversions_per_test_row,held_out_test
t_learner,0.0899999320722851,0.0008584548985314464,0.0007584308880769253,incremental_conversions_per_test_row,held_out_test
t_learner,0.0999999642485711,0.0008755595037283775,0.0007644216701862676,incremental_conversions_per_test_row,held_out_test
t_learner,0.10999999642485711,0.00089672995770163,0.0007744783010719314,incremental_conversions_per_test_row,held_out_test
t_learner,0.11999967108685416,0.0008950475375183219,0.000761682455134812,incremental_conversions_per_test_row,held_out_test
t_learner,0.12999970326314017,0.0008996741930224088,0.0007551952875513101,incremental_conversions_per_test_row,held_out_test
t_learner,0.13999973543942618,0.0009080862939389326,0.0007524935653802451,incremental_conversions_per_test_row,held_out_test
t_learner,0.14999976761571218,0.0009104697225319465,0.0007437631708856703,incremental_conversions_per_test_row,held_out_test
t_learner,0.1599997997919982,0.0009127129494430187,0.0007348925747091538,incremental_conversions_per_test_row,held_out_test
t_learner,0.1699998319682842,0.0009099089158041752,0.0007209747179827215,incremental_conversions_per_test_row,held_out_test
t_learner,0.1799998641445702,0.000916077789809626,0.0007160297689005836,incremental_conversions_per_test_row,held_out_test
t_learner,0.1899998963208562,0.0009138345628985514,0.0007026727189019203,incremental_conversions_per_test_row,held_out_test
t_learner,0.1999999284971422,0.0009115913359874776,0.0006893156689032579,incremental_conversions_per_test_row,held_out_test
t_learner,0.20999996067342822,0.0009163581931735079,0.0006829687030016994,incremental_conversions_per_test_row,held_out_test
t_learner,0.21999999284971422,0.0009157973864457391,0.0006712940731863419,incremental_conversions_per_test_row,held_out_test
t_learner,0.22999966751171128,0.0009156571847637966,0.0006600404457505879,incremental_conversions_per_test_row,held_out_test
t_learner,0.23999969968799728,0.0009195828318581744,0.000652852269757377,incremental_conversions_per_test_row,held_out_test
t_learner,0.2499997318642833,0.0009179004116748687,0.0006400560264864827,incremental_conversions_per_test_row,held_out_test
t_learner,0.2599997640405693,0.0009247702940900301,0.0006358120858140553,incremental_conversions_per_test_row,held_out_test
t_learner,0.26999979621685527,0.0009274341260469293,0.0006273620946833658,incremental_conversions_per_test_row,held_out_test
